gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
4602149399					2024-04-03 18:20:53.290000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K002083575	K002083575	9056	Bidgood, S.; Merrett, L.; K. Vollesen																																							2017-02-01 00:00:00.0000000																						Zambia	ZM				Mpika Distr., Mutinondo Wilderness Area, Lodge Rock to Choso Falls		1450.0											-12.45000009	31.30000006																																																						Bulbostylis abortiva							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				abortiva					(Steud.) C.B.Clarke					
4602149396					2024-04-03 18:20:53.290000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K002083542	K002083542	9147	Bidgood, S.; Merrett, L.; K. Vollesen																																							2017-02-06 00:00:00.0000000																						Zambia	ZM				Mpika Distr., Mutinondo Wilderness Area, Kabasano Dambo		1450.0											-12.45000009	31.30000006																																																						Bulbostylis pusilla							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				pusilla					(Hochst. ex A.Rich.) C.B.Clarke					
4602149389					2024-04-03 18:20:53.290000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K002083458	K002083458	9975	Merrett, L.; Vollesen, K.B.; Bidgood, G.S.																																							2019-12-21 00:00:00.0000000																						Zambia	ZM				Mpika Distr., Mutinondo Wilderness Area, Choso Falls.		1450.0											-12.45000009	31.30000006																																																						Bulbostylis capillaris							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				capillaris					(L.) Kunth ex C.B.Clarke					
4602149374					2024-04-03 18:20:53.290000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K002083278	K002083278	9660	Marrett, L.; Vollesen, K.B.; Bidgood, G.S.																																							2018-11-15 00:00:00.0000000																						Zambia	ZM				Mpika distr., Mutinondo wilderness area, Wof Hyrax hill.		1450.0											-12.45000009	31.30000006																																																						Bulbostylis schoenoides							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				schoenoides					(Kunth) C.B.Clarke					
4601944384					2024-04-03 18:20:53.290000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K002083600	K002083600	9434	Bidgood, S.; Merett, L.; K. Vollesen																																							2017-02-23 00:00:00.0000000																						Zambia	ZM				Mpika Distr., Mutinondo Wilderness Area, Charlies Rock		1450.0											-12.45000009	31.30000006																																																						Bulbostylis congolensis							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				congolensis					De Wild.					
4601944379					2024-04-03 18:20:53.290000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K002083549	K002083549	962	Browning, J.																																							2015-04-14 00:00:00.0000000							14.iv.2015															Zimbabwe	ZW				Matabeland Province; Matobo, Besna Kobila		1468.0											-20.43333342	28.73333348																																																						Bulbostylis pusilla							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				pusilla					(Hochst. ex A.Rich.) C.B.Clarke					
4601943434					2024-04-03 18:20:53.290000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K002084003	K002084003	9308	Bidgood, G.S.; Merrett, L.; Vollesen, K.B.																																							2017-02-16 00:00:00.0000000																						Zambia	ZM				Mpika Distr., Mutinondo Wilderness Area, Greens Dambo.		1400.0											-12.45000009	31.30000006																																																						Bulbostylis igneotonsa							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				igneotonsa					Raymond					
4601943398					2024-04-03 18:20:53.290000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K002083574	K002083574	9264	Bidgood, S.; Merrett, L.; K. Vollesen																																							2017-02-13 00:00:00.0000000																						Zambia	ZM				Mpika Distr., Mutinondo Wilderness Area, Kankonde Camp		1400.0											-12.45000009	31.30000006																																																						Bulbostylis abortiva							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				abortiva					(Steud.) C.B.Clarke					
4601943396					2024-04-03 18:20:53.290000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K002083541	K002083541	9261	Bidgood, S.; Merrett, L.; Vollesen, K.B.																																							2017-02-13 00:00:00.0000000																						Zambia	ZM				Mpika Dist., Mutinondo Wilderness Area, Kankonde Camp.		1400.0											-12.45000009	31.30000006																																																						Bulbostylis pusilla							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				pusilla					(Hochst. ex A.Rich.) C.B.Clarke					
4601943382					2024-04-03 18:20:53.290000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K002083361	K002083361	8897	Bidgood, S.; Merrett, L.; Vollesen, K.																																							2016-05-18 00:00:00.0000000																						Zambia	ZM				Mpika Distr., Mutinondo Wilderness Area, Little Chipundu Dambo.		1450.0											-12.45000009	31.30000006																																																						Bulbostylis pilosa							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				pilosa					(Willd.) Cherm.					
